W, Score Of Algorithm, Main Domain, Score Of The Main Domain
ورزشی, 0.028354291872313423, ورزش, 0.13257659653022197
تیم, 0.025679119527173687, ورزش, 0.1201487313847557
فوتبال, 0.016888429931766966, ورزش, 0.07567659814662861
اقتصادی, 0.015667229016252622, اقتصاد, 0.07697774644658753
سیاسی, 0.014865780682330295, سیاسی, 0.08203072876099668
جام, 0.013103086720720225, ورزش, 0.0668246433329791
بازی, 0.012907324544781627, ورزش, 0.06718223959818798
قهرمانی, 0.012390470154418888, ورزش, 0.05579396088379853
اجتماعی, 0.011619247502968492, اجتماعی, 0.08209253863377325
بازیکن, 0.01008386930479034, ورزش, 0.04428595892649294
بازیکنان, 0.00921968329523846, ورزش, 0.04089587362835586
دلار, 0.00894303771893893, اقتصاد, 0.04435230964457216
مجلس, 0.008825226817695441, سیاسی, 0.04550709130049686
اسلامی, 0.008782828058062655, سیاسی, 0.051545939517701596
فدراسیون, 0.008780835032345663, ورزش, 0.04018248248882854
مسابقات, 0.008770053643046723, ورزش, 0.040980175515419055
قیمت, 0.008382418748330175, اقتصاد, 0.040425004474061
گذاری, 0.008319530094419453, اقتصاد, 0.04271754766443544
شورای, 0.008281006365961553, سیاسی, 0.04512448063380394
سرمایه, 0.008230611052696483, اقتصاد, 0.044031840888949764
مسابقه, 0.008209682654678628, ورزش, 0.03934879390903963
صنایع, 0.008102514098166917, اقتصاد, 0.037698787904751535
تولید, 0.00808093953482416, اقتصاد, 0.03914478084852942
بازار, 0.00792904921165098, اقتصاد, 0.03723101723595716
آسیا, 0.007661465756951039, ورزش, 0.04110758406995013
باشگاههای, 0.007541775223959872, ورزش, 0.03270097791704985
بازیهای, 0.007401220746674729, ورزش, 0.03420284109684354
میلیارد, 0.006895490135666978, اقتصاد, 0.03374665775558585
جمهوری, 0.006759269588146427, سیاسی, 0.035013800492590445
رقابت, 0.006664640248517519, ورزش, 0.04141902956028109
مربی, 0.006441109749654191, ورزش, 0.029784070538140757
ریال, 0.006396699256329337, اقتصاد, 0.03125659322868334
ارزی, 0.006393243884228069, اقتصاد, 0.02718656242332499
صنعتی, 0.006310963543561752, اقتصاد, 0.03067532950689008
مردم, 0.006285384210992342, سیاسی, 0.041501875776553905
حریف, 0.006154371961368776, ورزش, 0.027712930479439034
دادگاه, 0.006130396783221693, اجتماعی, 0.030234992324749868
نفت, 0.006081034748039447, اقتصاد, 0.03153679987293577
باشگاه, 0.00605895110077567, ورزش, 0.028654512276379066
وزیر, 0.006013202366272796, اقتصاد, 0.018382907516156236
توسعه, 0.00601259767468359, اقتصاد, 0.03245958019276618
آیت, 0.006000597324987104, سیاسی, 0.028067965075270263
انتخابات, 0.0058707485540513025, سیاسی, 0.03289860033943769
قهرمان, 0.005868727147006836, ورزش, 0.02828215501952761
معظم, 0.005833467133205625, سیاسی, 0.027442593738068014
صادرات, 0.005822677933283591, اقتصاد, 0.02627642117471139
درصد, 0.005758137543682369, اقتصاد, 0.032058075947438834
شکست, 0.00575796708649582, ورزش, 0.03458778707746642
افزایش, 0.0057406380176067, اقتصاد, 0.03380751408945399
دولت, 0.005670188458015308, اقتصاد, 0.014574910172289684
تولیدی, 0.005623559560657488, اقتصاد, 0.024859708560230703
انقلاب, 0.00556918997882697, سیاسی, 0.03152235763729156
نظام, 0.005532324569566727, سیاسی, 0.027251772595339695
خاتمی, 0.005442576199221279, سیاسی, 0.028793074817283586
آقای, 0.005284969171747129, سیاسی, 0.03172071231203437
پرسپولیس, 0.00521085625732229, ورزش, 0.02309941572257881
مربیان, 0.005183974896942569, ورزش, 0.024156057074745295
تیمی, 0.00514845982188201, ورزش, 0.02346646788309542
ارز, 0.005128609758863115, اقتصاد, 0.022103597145449783
پتروشیمی, 0.0050927780104721545, اقتصاد, 0.021613967678314337
ورزشگاه, 0.005091805075699017, ورزش, 0.02344275514204894
سهام, 0.004956383655540867, اقتصاد, 0.021263043827685322
گل, 0.004894150901842301, ورزش, 0.027073599976142733
تاکید, 0.004772764967071931, سیاسی, 0.02412632145169783
دیدار, 0.004771876677198722, ورزش, 0.026950382899066525
ایرنا, 0.00475210383580589, سیاسی, 0.023352560891784006
صنعت, 0.004684107159448466, اقتصاد, 0.02476749105752619
فروش, 0.004634780015327595, اقتصاد, 0.02391906521802231
میلیون, 0.004592046824369854, اقتصاد, 0.028045072254633423
مصاف, 0.004578219924893752, ورزش, 0.02042398617731803
اقتصاد, 0.0045735086731805465, اقتصاد, 0.02348965633811839
المپیک, 0.004553920193932802, ورزش, 0.020766290032351427
اسلام, 0.004495907442528629, سیاسی, 0.02270472319057525
الاسلام, 0.004487630785156753, سیاسی, 0.02006258224827832
رهبری, 0.004468376594023027, سیاسی, 0.025224678709260755
میزان, 0.0044555986401386945, اقتصاد, 0.022771437174129366
لیگ, 0.004425785394986317, ورزش, 0.019466486483793587
وزارت, 0.004412272445904621, اقتصاد, 0.012174313879450721
قانون, 0.004324870318020054, سیاسی, 0.01818971398900485
والیبال, 0.0042925014293477195, ورزش, 0.01885342962613607
حجت, 0.004284401310151042, سیاسی, 0.020189115080842566
گزارش, 0.0042728197461069225, سیاسی, 0.019402743907184584
سرمربی, 0.004213987021973453, ورزش, 0.01812014419448585
الله, 0.004185349649470215, سیاسی, 0.02511142747624093
کاهش, 0.004184402545492415, اقتصاد, 0.02262881219258728
مطبوعات, 0.00410008488057892, اجتماعی, 0.02218383973061603
هزار, 0.0040952261408509225, اقتصاد, 0.028708549840378936
نگهبان, 0.0040803984663348855, سیاسی, 0.02008963754146347
رئیس, 0.004033846643853503, سیاسی, 0.031741103174527406
پارس, 0.004030758848993365, اقتصاد, 0.01732814553478435
پیروزی, 0.00392353905867277, ورزش, 0.024164295200331573
ورزش, 0.003920192463701385, ورزش, 0.01869657117691456
معامله, 0.0038851439319611825, اقتصاد, 0.017357512098428805
مهاجم, 0.0038820795286334956, ورزش, 0.017944774688483798
حریفان, 0.0038695002881024287, ورزش, 0.017159354626369833
بازرگانی, 0.0038516193411622037, اقتصاد, 0.018504353030154064
گاز, 0.003805697168103044, اقتصاد, 0.01837626642527279
دروازه, 0.0038044769333281164, ورزش, 0.01864613839446239
میزبان, 0.0037997492295125525, ورزش, 0.018873815861269568
روزنامه, 0.0037912859759110015, اجتماعی, 0.030527460812618614
